Linux 4.14.35-1844.1.3.el7uek.x86_64 (instance-20190207-1400) 	02/07/2019 	_x86_64_	(104 CPU)

02/07/2019 07:45:37 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.22    0.00    2.04    3.06    0.00   94.68

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.40   12.29    1.40   113.26   136.35    36.48     0.05    3.82    0.56   32.51   0.43   0.59
sdb              10.32    32.49  468.73 1344.49 10072.49 10572.09    22.77    22.85   12.60   24.56    8.43   0.10  18.36
sdc               9.59    42.39  462.55 1609.36  9733.65 12912.82    21.86    25.03   12.08   24.89    8.40   0.09  18.45
sdd              10.00    34.60  474.83 1300.65 10045.02 10922.11    23.62    22.10   12.45   24.25    8.14   0.10  18.64
sde               9.85    36.17  460.64 1160.05  9871.18 10134.76    24.69    24.45   15.08   25.02   11.14   0.11  18.40
sdf               9.45    30.72  416.06  618.66  9107.05  7547.58    32.19    24.58   23.75   27.69   21.10   0.18  18.78
sdg               9.45    29.20  411.13  720.57  9088.36  7794.84    29.84    24.65   21.78   28.20   18.11   0.16  18.33
sdh              10.00    34.25  463.53 1481.23  9917.04 11114.96    21.63    23.99   12.33   24.84    8.42   0.09  18.41
sdi               9.67    42.62  462.24 1603.70  9687.57 14924.81    23.83    23.56   11.40   24.92    7.50   0.09  18.32
sdj               9.38    45.90  444.32 1720.65  9427.78 15168.30    22.72    24.74   11.43   25.89    7.69   0.09  18.48
sdk               9.47    39.88  431.36 1446.86  9216.48 11910.11    22.50    24.98   13.30   26.76    9.29   0.10  18.42
sdl               9.48    37.33  441.72 1511.41  9349.10 11663.42    21.52    24.01   12.29   26.13    8.25   0.09  18.45
sdm               9.46    40.15  442.33 1541.40  9357.85 11782.71    21.31    24.85   12.53   26.05    8.65   0.09  18.48
sdn               9.47    45.60  458.48 1592.11  9612.68 14793.95    23.80    24.06   11.73   25.10    7.88   0.09  18.71
sdo               9.98    31.35  464.70 1179.73  9960.71  9977.46    24.25    22.05   13.41   24.79    8.92   0.11  18.32
sdp              10.11    36.96  453.47 1476.98  9769.75 11052.39    21.57    24.85   12.87   25.42    9.02   0.10  18.47
sdq               9.93    27.59  453.79 1102.74  9728.25  9579.24    24.81    22.07   14.18   25.41    9.56   0.12  18.28
sdr               9.70    35.77  441.62 1208.60  9574.40  9798.06    23.48    24.94   15.11   26.10   11.09   0.11  18.56
sds               9.48    28.55  443.71 1108.19  9380.95  9991.38    24.97    21.44   13.81   25.98    8.94   0.12  18.79
sdt               9.45    39.30  448.66 1437.25  9515.46 11391.01    22.17    24.44   12.96   25.66    8.99   0.10  18.39
sdu               9.54    38.59  455.52 1518.66  9624.55 11728.01    21.63    24.45   12.38   25.32    8.50   0.09  18.42
sdv              10.10    39.79  488.80 1546.24 10334.98 12050.28    22.00    24.88   12.22   23.63    8.62   0.09  18.49
sdw               9.43    39.44  448.48 1501.93  9451.17 12340.89    22.35    24.35   12.48   25.76    8.52   0.10  18.89
sdx               9.30    38.26  424.98 1479.07  9113.50 11237.41    21.38    25.01   13.13   27.13    9.11   0.10  18.50
sdy               9.45    43.05  459.75 1653.72  9615.28 15065.45    23.36    23.42   11.08   25.00    7.21   0.09  18.81
sdz               9.56    38.58  445.57 1507.73  9480.65 11561.60    21.55    24.98   12.79   25.84    8.93   0.09  18.47
sdaa              9.33    45.10  413.09  650.20  9035.34  7651.18    31.39    24.71   23.24   27.91   20.27   0.18  18.71
sdab              9.56    27.85  397.41  740.92  8885.90  7317.29    28.47    25.06   22.01   29.09   18.22   0.16  18.42
sdac              9.45    35.12  454.15 1394.92  9579.04 11106.44    22.37    23.76   12.85   25.37    8.77   0.10  18.26
sdad              9.19    33.77  405.68 1285.30  8771.65  9782.55    21.94    23.74   14.04   28.39    9.51   0.11  18.78
sdae              9.70    30.60  424.07  653.42  9297.77  7702.69    31.56    24.46   22.70   27.27   19.73   0.17  18.32
sdaf              9.76    44.40  461.44 1658.61  9739.77 15042.22    23.38    23.50   11.08   24.93    7.23   0.09  18.47
sdag              9.31    31.48  404.59  670.79  8938.04  8242.05    31.95    24.56   22.84   28.52   19.41   0.17  18.82

02/07/2019 07:45:38 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           2.37    0.00    1.04    0.93    0.00   95.66

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdb               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.38    0.00    6.38   3.50   2.80
sdc               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.04    5.62    0.00    5.62   3.00   2.40
sdd               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.06    8.50    0.00    8.50   4.25   3.40
sde               0.00     0.00    0.00    6.00     0.00  6144.00  2048.00     0.04    6.17    0.00    6.17   3.33   2.00
sdf               0.00     0.00    0.00    6.00     0.00  6144.00  2048.00     0.06    9.67    0.00    9.67   5.67   3.40
sdg               0.00     0.00    0.00    6.00     0.00  6144.00  2048.00     0.04    6.00    0.00    6.00   3.67   2.20
sdh               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.88    0.00    5.88   3.00   2.40
sdi               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.88    0.00    5.88   3.12   2.50
sdj               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.12    0.00    6.12   3.12   2.50
sdk               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.12    0.00    6.12   3.25   2.60
sdl               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.75    0.00    5.75   3.00   2.40
sdm               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.75    0.00    5.75   3.00   2.40
sdn               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.09   10.62    0.00   10.62   5.62   4.50
sdo               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.00    0.00    6.00   3.00   2.40
sdp               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.50    0.00    6.50   3.50   2.80
sdq               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.12    0.00    6.12   3.25   2.60
sdr               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.07    8.50    0.00    8.50   4.62   3.70
sds               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.08   10.12    0.00   10.12   5.50   4.40
sdt               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.04    5.62    0.00    5.62   3.00   2.40
sdu               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.12    0.00    6.12   3.25   2.60
sdv               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.06    6.88    0.00    6.88   3.75   3.00
sdw               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.09   11.38    0.00   11.38   6.25   5.00
sdx               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.07    8.12    0.00    8.12   4.25   3.40
sdy               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.08    9.50    0.00    9.50   5.62   4.50
sdz               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.07    8.38    0.00    8.38   4.38   3.50
sdaa              0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.09   11.62    0.00   11.62   5.88   4.70
sdab              0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.12    0.00    6.12   3.50   2.80
sdac              0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.75    0.00    5.75   3.00   2.40
sdad              0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.07    9.25    0.00    9.25   4.75   3.80
sdae              0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.88    0.00    5.88   3.25   2.60
