Linux 4.14.35-1844.1.3.el7uek.x86_64 (instance-20190207-1400) 	02/07/2019 	_x86_64_	(104 CPU)

02/07/2019 07:46:39 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.21    0.00    2.00    3.40    0.00   94.39

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.39   11.98    1.37   110.41   133.17    36.50     0.05    3.82    0.56   32.37   0.43   0.58
sdb              11.37    31.68  465.38 1310.64 12323.06 10312.58    25.49    25.78   14.51   31.66    8.43   0.11  20.37
sdc              10.43    41.32  458.71 1568.85 11766.23 12594.36    24.03    27.92   13.76   32.11    8.40   0.10  20.45
sdd              10.92    33.73  471.05 1267.91 12188.40 10653.78    26.27    25.05   14.41   31.26    8.14   0.12  20.64
sde              10.79    35.26  457.31 1130.85 12045.29  9885.42    27.62    27.35   17.22   32.24   11.14   0.13  20.41
sdf              10.37    29.95  413.72  603.09 11258.37  7363.39    36.63    27.47   27.01   35.61   21.11   0.20  20.78
sdg              10.44    28.47  409.05  702.44 11295.56  7604.42    34.01    27.54   24.77   36.20   18.11   0.18  20.34
sdh              10.94    33.39  460.14 1443.93 12096.05 10840.94    24.09    26.89   14.12   32.00    8.42   0.11  20.41
sdi              10.48    41.55  458.14 1563.32 11647.09 14554.85    25.92    26.47   13.09   32.16    7.50   0.10  20.32
sdj              10.22    44.75  440.94 1677.33 11467.96 14792.20    24.79    27.63   13.04   33.38    7.69   0.10  20.49
sdk              10.31    38.88  428.10 1410.43 11209.30 11616.07    24.83    27.86   15.15   34.46    9.29   0.11  20.42
sdl              10.29    36.40  438.20 1473.36 11333.24 11375.58    23.76    26.92   14.08   33.68    8.25   0.11  20.45
sdm              10.33    39.14  438.72 1502.59 11333.72 11491.87    23.52    27.73   14.28   33.58    8.65   0.11  20.49
sdn              10.28    44.45  454.60 1552.03 11603.98 14427.29    25.95    26.96   13.43   32.39    7.88   0.10  20.71
sdo              10.96    30.56  461.38 1150.03 12171.13  9732.08    27.19    25.01   15.51   31.94    8.93   0.13  20.33
sdp              11.04    36.04  450.49 1439.80 11992.09 10779.95    24.09    27.74   14.67   32.72    9.02   0.11  20.48
sdq              10.87    26.90  450.60 1074.98 11902.30  9343.89    27.85    25.02   16.40   32.72    9.56   0.13  20.29
sdr              10.64    34.87  438.79 1178.18 11763.19  9557.20    26.37    27.82   17.20   33.59   11.10   0.13  20.56
sds              10.30    27.83  440.12 1080.30 11360.11  9745.65    27.76    24.41   16.05   33.49    8.94   0.14  20.78
sdt              10.27    38.32  445.13 1401.06 11539.95 11110.04    24.54    27.33   14.80   33.10    8.99   0.11  20.40
sdu              10.35    37.62  451.85 1480.43 11652.56 11438.54    23.90    27.34   14.15   32.64    8.50   0.11  20.42
sdv              11.09    38.79  484.80 1507.31 12519.89 11752.71    24.37    27.77   13.94   30.46    8.62   0.10  20.49
sdw              10.29    38.45  444.69 1464.12 11415.71 12036.00    24.57    27.25   14.27   33.20    8.52   0.11  20.89
sdx              10.13    37.30  421.99 1441.84 11132.64 10960.30    23.71    27.89   14.96   34.94    9.11   0.11  20.50
sdy              10.27    41.97  455.73 1612.08 11580.91 14691.94    25.41    26.34   12.74   32.27    7.21   0.10  20.81
sdz              10.41    37.61  442.19 1469.77 11531.83 11276.33    23.86    27.86   14.57   33.32    8.93   0.11  20.47
sdaa             10.25    43.96  410.80  633.84 11184.29  7464.38    35.70    27.60   26.42   35.89   20.27   0.20  20.71
sdab             10.49    27.15  395.71  722.27 11092.03  7138.91    32.61    27.94   24.99   37.34   18.22   0.18  20.42
sdac             10.27    34.24  450.44 1359.81 11589.59 10833.47    24.77    26.68   14.73   32.72    8.77   0.11  20.27
sdad             10.05    32.92  403.00 1252.95 10760.41  9542.91    24.52    26.65   16.09   36.54    9.51   0.13  20.78
sdae             10.68    29.83  421.76  636.98 11526.24  7515.43    35.97    27.36   25.83   35.05   19.73   0.19  20.33
sdaf             10.62    43.28  457.56 1616.86 11764.25 14670.14    25.49    26.41   12.73   32.15    7.23   0.10  20.47
sdag             10.24    30.69  402.64  653.91 11122.26  8041.20    36.28    27.46   25.98   36.65   19.41   0.20  20.81

02/07/2019 07:46:40 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           2.21    0.00    1.02    0.92    0.00   95.84

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdb               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.38    0.00    6.38   3.38   2.70
sdc               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.75    0.00    5.75   3.00   2.40
sdd               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.08    9.62    0.00    9.62   5.12   4.10
sde               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.00    0.00    6.00   3.12   2.50
sdf               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.08    9.62    0.00    9.62   5.50   4.40
sdg               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.06    6.88    0.00    6.88   3.50   2.80
sdh               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.50    0.00    6.50   3.38   2.70
sdi               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.50    0.00    6.50   3.38   2.70
sdj               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.50    0.00    6.50   3.75   3.00
sdk               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.04    5.25    0.00    5.25   2.75   2.20
sdl               0.00     2.00    0.00   10.00     0.00  8208.00  1641.60     0.05    5.10    0.00    5.10   2.70   2.70
sdm               0.00     1.00    0.00   10.00     0.00  8204.00  1640.80     0.05    5.00    0.00    5.00   2.60   2.60
sdn               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.07    9.38    0.00    9.38   5.38   4.30
sdo               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.75    0.00    6.75   3.75   3.00
sdp               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.62    0.00    6.62   3.50   2.80
sdq               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.88    0.00    5.88   3.25   2.60
sdr               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.08    9.62    0.00    9.62   5.25   4.20
sds               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.09   10.88    0.00   10.88   6.00   4.80
sdt               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.38    0.00    6.38   3.38   2.70
sdu               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.12    0.00    6.12   3.25   2.60
sdv               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.88    0.00    5.88   3.12   2.50
sdw               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.07    9.38    0.00    9.38   5.25   4.20
sdx               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.50    0.00    6.50   3.50   2.80
sdy               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.08    9.62    0.00    9.62   5.25   4.20
sdz               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.00    0.00    6.00   3.25   2.60
sdaa              0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.10   13.00    0.00   13.00   6.75   5.40
sdab              0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.04    6.50    0.00    6.50   3.00   2.40
sdac              0.00     0.00    0.00    6.00     0.00  6144.00  2048.00     0.03    5.67    0.00    5.67   2.83   1.70
sdad              0.00     0.00    0.00    6.00     0.00  6144.00  2048.00     0.06   10.17    0.00   10.17   5.17   3.10
sdae              0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.04    5.62    0.00    5.62   3.12   2.50
sdaf              0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.75    0.00    6.75   3.50   2.80
sdag              0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.07    8.88    0.00    8.88   4.62   3.70

02/07/2019 07:46:41 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.13    0.00    2.49   18.94    0.00   77.44

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.00    0.00    2.00     0.00   124.00   124.00     0.01    4.50    0.00    4.50   2.50   0.50
sdb               2.00     7.00  325.00  222.00 83712.00 58112.00   518.55   126.49  164.85   96.52  264.87   1.62  88.50
sdc               2.00     1.00  368.00  236.00 94720.00 60416.00   513.70   124.21  160.17   91.57  267.13   1.45  87.70
sdd               2.00    12.00  255.00  232.00 65792.00 61184.00   521.46   121.60  164.19   80.77  255.88   1.80  87.70
sde               3.00    10.00  333.00  263.00 86016.00 68864.00   519.73   125.66  162.75   85.32  260.79   1.48  88.50
sdf               2.00     2.00  350.00  261.00 90112.00 67328.00   515.35   125.96  152.19   85.96  241.02   1.43  87.60
sdg               1.00    14.00  328.00  274.00 84224.00 72960.00   522.21   124.30  162.47   89.46  249.86   1.46  87.60
sdh               3.00    12.00  291.00  201.00 75264.00 52480.00   519.28   127.02  187.11  102.24  309.97   1.78  87.70
sdi               1.00     9.00  392.00  272.00 100608.00 70400.00   515.08   124.85  150.80   79.98  252.85   1.32  87.60
sdj               5.00     4.00  302.00  193.00 78592.00 49664.00   518.21   127.12  199.37  146.59  281.97   1.79  88.40
