Linux 4.14.35-1844.1.3.el7uek.x86_64 (instance-20190207-1400) 	02/07/2019 	_x86_64_	(104 CPU)

02/07/2019 07:47:40 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.23    0.00    2.01    3.80    0.00   93.96

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.38   11.69    1.34   107.70   130.17    36.51     0.05    3.82    0.56   32.16   0.43   0.56
sdb              11.33    31.58  461.89 1285.89 14111.90 12130.61    30.03    28.52   16.31   32.48   10.51   0.13  22.27
sdc              10.44    41.07  456.38 1538.69 13828.03 14614.21    28.51    30.62   15.34   32.85   10.15   0.11  22.35
sdd              10.89    33.59  467.24 1244.16 13933.73 12451.71    30.83    27.83   16.26   32.07   10.31   0.13  22.54
sde              10.77    35.17  455.07 1111.57 14109.63 12006.38    33.34    30.09   19.20   32.93   13.58   0.14  22.31
sdf              10.38    29.90  411.53  595.68 13086.99  9249.07    44.35    30.18   29.96   36.46   25.46   0.23  22.67
sdg              10.41    28.51  407.21  692.87 13174.25  9573.61    41.36    30.26   27.50   36.97   21.93   0.20  22.24
sdh              10.86    33.20  455.56 1414.93 13565.27 12380.99    27.74    29.66   15.85   32.86   10.38   0.12  22.32
sdi              10.54    41.54  458.00 1535.39 14282.34 17125.06    31.51    29.22   14.66   32.73    9.26   0.11  22.23
sdj              10.30    44.71  441.44 1646.91 14169.19 17450.51    30.28    30.36   14.53   33.92    9.34   0.11  22.38
sdk              10.31    38.65  426.30 1383.93 13226.84 13589.34    29.63    30.59   16.89   35.22   11.25   0.12  22.32
sdl              10.25    36.10  434.57 1443.95 12930.99 12974.92    27.58    29.65   15.78   34.60   10.11   0.12  22.35
sdm              10.26    38.78  435.08 1472.42 12927.49 13075.51    27.26    30.44   15.96   34.47   10.48   0.12  22.39
sdn              10.37    44.35  454.39 1524.21 14207.15 16953.84    31.50    29.69   15.00   32.96    9.65   0.11  22.60
sdo              10.91    30.52  457.75 1129.24 13898.54 11576.70    32.10    27.78   17.50   32.74   11.33   0.14  22.23
sdp              10.95    35.77  446.62 1411.18 13583.98 12390.63    27.96    30.45   16.39   33.57   10.95   0.12  22.38
sdq              10.81    26.87  446.67 1055.35 13485.07 11004.69    32.61    27.81   18.51   33.57   12.13   0.15  22.20
sdr              10.59    34.61  435.10 1156.05 13339.08 11210.01    30.86    30.51   19.17   34.41   13.43   0.14  22.46
sds              10.21    27.69  435.51 1059.63 12707.68 11138.41    31.90    27.21   18.19   34.44   11.52   0.15  22.68
sdt              10.22    37.98  441.21 1373.35 13098.06 12697.43    28.43    30.06   16.56   34.01   10.96   0.12  22.30
sdu              10.30    37.29  447.26 1450.27 13081.26 12888.17    27.37    30.07   15.84   33.52   10.39   0.12  22.33
sdv              11.08    38.57  481.28 1478.16 14424.93 13657.26    28.66    30.48   15.55   31.21   10.45   0.11  22.39
sdw              10.27    38.23  442.27 1436.26 13367.41 13991.42    29.13    29.95   15.94   33.93   10.40   0.12  22.78
sdx              10.09    36.98  418.97 1413.40 12792.72 12620.30    27.74    30.57   16.68   35.82   11.00   0.12  22.41
sdy              10.34    41.93  455.52 1582.95 14190.65 17254.51    30.85    29.09   14.27   32.82    8.93   0.11  22.70
sdz              10.36    37.35  438.93 1440.96 13242.49 13025.85    27.95    30.57   16.26   34.13   10.82   0.12  22.38
sdaa             10.21    43.54  408.32  625.45 12909.08  9281.92    42.93    30.30   29.30   36.72   24.46   0.22  22.61
sdab             10.47    27.17  393.63  711.72 12831.93  8977.58    39.46    30.65   27.73   38.16   21.96   0.20  22.33
sdac             10.22    34.02  446.36 1333.05 13143.63 12418.88    28.73    29.41   16.52   33.58   10.81   0.12  22.17
sdad              9.94    32.64  399.05 1227.78 12052.74 10868.75    28.18    29.37   18.05   37.56   11.71   0.14  22.68
sdae             10.69    29.85  420.16  629.53 13549.68  9618.96    44.14    30.07   28.64   35.78   23.88   0.21  22.23
sdaf             10.69    43.21  457.43 1587.62 14399.17 17235.19    30.94    29.15   14.25   32.69    8.94   0.11  22.37
sdag             10.28    30.81  403.31  647.91 13623.04 10640.97    46.16    30.17   28.70   37.22   23.39   0.22  22.70

02/07/2019 07:47:41 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           2.14    0.00    1.07    0.92    0.00   95.87

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdb               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.08   10.25    0.00   10.25   5.38   4.30
sdc               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.25    0.00    6.25   3.12   2.50
sdd               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.07    8.75    0.00    8.75   4.75   3.80
sde               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.62    0.00    6.62   3.38   2.70
sdf               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.07    9.38    0.00    9.38   5.25   4.20
sdg               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.88    0.00    5.88   3.12   2.50
sdh               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.08    9.88    0.00    9.88   5.38   4.30
sdi               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.04    5.25    0.00    5.25   2.62   2.10
sdj               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.88    0.00    5.88   3.12   2.50
sdk               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.75    0.00    5.75   3.12   2.50
sdl               0.00     0.00    0.00    9.00     0.00  8196.00  1821.33     0.06    5.22    0.00    5.22   3.11   2.80
sdm               0.00     0.00    0.00   11.00     0.00 10244.00  1862.55     0.06    5.00    0.00    5.00   2.55   2.80
sdn               0.00     0.00    0.00   10.00     0.00 10240.00  2048.00     0.08    9.00    0.00    9.00   4.00   4.00
sdo               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.04    5.62    0.00    5.62   3.00   2.40
sdp               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.88    0.00    5.88   3.00   2.40
sdq               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.06    8.00    0.00    8.00   5.50   4.40
sdr               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.50    0.00    6.50   3.62   2.90
sds               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.07    9.25    0.00    9.25   5.25   4.20
sdt               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.04    5.62    0.00    5.62   2.88   2.30
sdu               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.75    0.00    5.75   3.00   2.40
sdv               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.75    0.00    5.75   3.00   2.40
sdw               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.08    9.50    0.00    9.50   5.62   4.50
sdx               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.04    5.62    0.00    5.62   3.12   2.50
sdy               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.08    9.88    0.00    9.88   5.25   4.20
sdz               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.88    0.00    5.88   3.00   2.40
sdaa              0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.07    8.38    0.00    8.38   4.62   3.70
sdab              0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.00    0.00    6.00   3.25   2.60
sdac              0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.25    0.00    6.25   3.25   2.60
sdad              0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.08    9.62    0.00    9.62   4.88   3.90
sdae              0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.04    5.62    0.00    5.62   3.00   2.40
sdaf              0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.75    0.00    5.75   3.00   2.40
sdag              0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.07    8.75    0.00    8.75   5.12   4.10

02/07/2019 07:47:42 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.31    0.00    1.53   18.71    0.00   78.45

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     1.00    0.00    1.00     0.00   128.00   256.00     0.01   10.00    0.00   10.00  10.00   1.00
sdb               0.00     8.00    0.00  248.00     0.00 65792.00   530.58   125.31  317.00    0.00  317.00   3.56  88.40
sdc               0.00    13.00    0.00  354.00     0.00 94208.00   532.25   123.51  257.90    0.00  257.90   2.47  87.50
sdd               0.00     9.00    0.00  247.00     0.00 66560.00   538.95   125.09  324.82    0.00  324.82   3.60  88.90
sde               0.00     8.00    0.00  256.00     0.00 68096.00   532.00   125.05  311.70    0.00  311.70   3.45  88.30
sdf               0.00     6.00    0.00  219.00     0.00 58112.00   530.70   125.30  321.79    0.00  321.79   4.07  89.10
sdg               0.00    11.00    0.00  236.00     0.00 62976.00   533.69   123.88  293.33    0.00  293.33   3.70  87.40
sdh               0.00     8.00    0.00  189.00     0.00 50688.00   536.38   123.55  354.38    0.00  354.38   4.66  88.00
sdi               0.00    21.00    0.00  710.00     0.00 187392.00   527.86   123.20  152.42    0.00  152.42   1.24  87.80
sdj               0.00    33.00    0.00  698.00     0.00 186880.00   535.47   123.08  153.73    0.00  153.73   1.25  87.50
sdk               0.00    13.00    0.00  347.00     0.00 92928.00   535.61   123.80  251.69    0.00  251.69   2.55  88.60
sdl               0.00     7.00    0.00  261.00     0.00 69376.00   531.62   124.94  308.92    0.00  308.92   3.37  88.00
sdm               0.00     8.00    0.00  223.00     0.00 58112.00   521.18   124.22  332.75    0.00  332.75   3.91  87.10
sdn               0.00    19.00    0.00  716.00     0.00 187648.00   524.16   124.42  153.89    0.00  153.89   1.23  87.80
sdo               0.00     8.00    0.00  281.00     0.00 73216.00   521.11   125.14  296.50    0.00  296.50   3.13  87.90
sdp               0.00    10.00    0.00  196.00     0.00 50944.00   519.84   123.60  364.37    0.00  364.37   4.43  86.90
sdq               0.00    10.00    0.00  149.00     0.00 38912.00   522.31   126.04  391.93    0.00  391.93   5.89  87.80
sdr               0.00     8.00    0.00  195.00     0.00 50688.00   519.88   125.06  361.68    0.00  361.68   4.51  87.90
sds               0.00     3.00    0.00  176.00     0.00 45568.00   517.82   125.55  341.74    0.00  341.74   4.99  87.80
