Linux 4.14.35-1844.1.3.el7uek.x86_64 (instance-20190207-1400) 	02/07/2019 	_x86_64_	(104 CPU)

02/07/2019 07:48:42 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.24    0.00    1.99    4.25    0.00   93.52

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.37   11.41    1.32   105.12   127.31    36.53     0.05    3.82    0.56   31.97   0.43   0.55
sdb              11.06    31.67  450.83 1260.75 13773.77 13510.28    31.88    31.05   18.14   32.48   13.01   0.14  24.08
sdc              10.19    41.38  445.45 1510.39 13496.71 16793.99    30.97    33.14   16.94   32.85   12.25   0.12  24.16
sdd              10.63    33.62  456.05 1220.05 13599.88 13829.17    32.73    30.38   18.12   32.07   12.90   0.15  24.34
sde              10.51    35.15  444.16 1090.57 13771.56 13375.50    35.38    32.58   21.23   32.93   16.46   0.16  24.12
sdf              10.13    30.06  401.67  587.70 12773.42 10863.79    47.78    32.66   33.00   36.46   30.64   0.25  24.47
sdg              10.16    28.71  397.45  681.96 12858.59 11028.98    44.26    32.76   30.34   36.97   26.48   0.22  24.06
sdh              10.60    32.93  444.65 1385.21 13240.24 13290.27    29.00    32.19   17.59   32.86   12.68   0.13  24.13
sdi              10.29    43.22  447.02 1515.42 13940.13 21710.86    36.33    31.80   16.20   32.73   11.32   0.12  24.04
sdj              10.06    46.35  430.86 1624.26 13829.69 22034.98    34.90    32.90   16.00   33.92   11.25   0.12  24.19
sdk              10.06    39.03  416.08 1359.04 12909.92 15721.02    32.26    33.12   18.65   35.22   13.58   0.14  24.14
sdl              10.01    36.12  424.16 1415.15 12621.16 14375.88    29.36    32.15   17.48   34.60   12.34   0.13  24.17
sdm              10.01    38.77  424.65 1443.26 12617.74 14568.40    29.11    32.95   17.63   34.47   12.68   0.13  24.20
sdn              10.12    45.89  443.50 1504.48 13866.74 21518.06    36.33    32.25   16.55   32.96   11.71   0.13  24.40
sdo              10.65    30.68  446.79 1108.66 13565.52 13187.31    34.40    30.36   19.52   32.74   14.19   0.15  24.05
sdp              10.69    35.53  435.92 1382.18 13258.51 13484.91    29.42    32.94   18.11   33.57   13.24   0.13  24.19
sdq              10.55    26.69  435.97 1033.66 13161.97 11783.12    33.95    30.33   20.63   33.57   15.18   0.16  24.02
sdr              10.33    34.35  424.67 1132.94 13019.47 12265.78    32.47    33.01   21.19   34.41   16.23   0.16  24.27
sds               9.97    27.54  425.08 1038.30 12403.20 12046.51    33.42    29.77   20.34   34.44   14.57   0.17  24.49
sdt               9.97    37.86  430.64 1345.83 12784.23 13976.53    30.13    32.57   18.33   34.01   13.31   0.14  24.11
sdu              10.05    37.00  436.55 1420.10 12767.83 13904.33    28.73    32.56   17.53   33.52   12.62   0.13  24.15
sdv              10.82    38.52  469.74 1448.44 14079.30 15014.69    30.33    32.98   17.19   31.21   12.64   0.13  24.20
sdw              10.02    38.61  431.67 1410.33 13047.12 16161.84    31.71    32.50   17.64   33.93   12.65   0.13  24.58
sdx               9.85    36.91  408.93 1384.78 12486.20 13871.49    29.39    33.06   18.43   35.82   13.29   0.14  24.22
sdy              10.09    43.56  444.61 1561.82 13850.64 21820.58    35.56    31.66   15.77   32.82   10.92   0.12  24.50
sdz              10.11    37.29  428.41 1412.60 12925.19 14505.40    29.80    33.06   17.95   34.13   13.05   0.13  24.19
sdaa              9.96    43.10  398.54  615.22 12599.77 10434.35    45.44    32.78   32.33   36.72   29.48   0.24  24.42
sdab             10.22    27.23  384.20  699.76 12524.47 10246.19    42.01    33.13   30.56   38.16   26.38   0.22  24.14
sdac              9.97    34.04  435.67 1306.57 12828.71 13732.52    30.49    31.94   18.33   33.58   13.24   0.14  23.99
sdad              9.71    32.42  389.48 1202.86 11763.95 11908.32    29.73    31.91   20.04   37.56   14.36   0.15  24.48
sdae             10.43    29.93  410.09  619.91 13225.02 10994.12    47.03    32.61   31.65   35.78   28.93   0.23  24.05
sdaf             10.43    44.84  446.47 1566.40 14054.16 21815.16    35.64    31.73   15.76   32.69   10.93   0.12  24.17
sdag             10.03    31.36  393.65  641.16 13296.63 12965.82    50.76    32.71   31.60   37.22   28.16   0.24  24.51

02/07/2019 07:48:43 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           2.37    0.00    1.01    0.93    0.00   95.69

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdb               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.75    0.00    5.75   3.00   2.40
sdc               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.04    5.50    0.00    5.50   2.75   2.20
sdd               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.07    8.88    0.00    8.88   4.88   3.90
sde               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.12    0.00    6.12   3.25   2.60
sdf               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.07    8.50    0.00    8.50   5.12   4.10
sdg               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.04    5.62    0.00    5.62   3.00   2.40
sdh               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.07    9.12    0.00    9.12   4.88   3.90
sdi               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.04    5.62    0.00    5.62   3.00   2.40
sdj               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.04    5.62    0.00    5.62   3.00   2.40
sdk               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.06    6.88    0.00    6.88   3.62   2.90
sdl               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.75    0.00    5.75   3.00   2.40
sdm               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.75    0.00    5.75   3.00   2.40
sdn               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.12   14.75    0.00   14.75   8.00   6.40
sdo               0.00     0.00    0.00    9.00     0.00  8196.00  1821.33     0.04    4.89    0.00    4.89   2.56   2.30
sdp               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.75    0.00    5.75   3.25   2.60
sdq               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.75    0.00    5.75   3.12   2.50
sdr               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.88    0.00    5.88   3.38   2.70
sds               0.00     0.00    0.00    9.00     0.00  8196.00  1821.33     0.09    9.67    0.00    9.67   5.00   4.50
sdt               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.04    5.62    0.00    5.62   2.88   2.30
sdu               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.00    0.00    6.00   3.38   2.70
sdv               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.75    0.00    5.75   3.00   2.40
