Linux 4.14.35-1844.1.3.el7uek.x86_64 (instance-20190207-1400) 	02/07/2019 	_x86_64_	(104 CPU)

02/07/2019 07:49:43 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.26    0.00    2.34    4.43    0.00   92.97

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.36   11.14    1.30   102.68   124.60    36.54     0.05    3.82    0.56   31.78   0.43   0.54
sdb              18.21    30.94 1020.44 1231.54 15803.59 13282.63    25.83    33.48   14.86   17.10   13.01   0.11  25.80
sdc              16.62    40.43  998.75 1475.38 15464.30 16490.01    25.83    35.56   14.37   17.51   12.25   0.10  25.88
sdd              17.55    32.85 1023.22 1191.78 15623.54 13594.10    26.38    32.86   14.83   17.07   12.90   0.12  26.06
sde              16.34    34.34  850.35 1065.31 15141.80 13150.98    29.54    35.04   18.29   20.58   16.46   0.13  25.84
sdf              12.95    29.37  597.87  574.13 13310.89 10697.66    40.97    35.15   29.99   29.36   30.64   0.22  26.18
sdg              13.14    28.05  702.52  666.20 13829.79 10859.01    36.08    35.23   25.73   25.02   26.48   0.19  25.78
sdh              16.68    32.17  975.18 1353.10 15121.25 13067.73    24.21    34.64   14.87   17.91   12.68   0.11  25.85
sdi              17.11    42.22 1014.05 1480.29 15954.04 21292.59    29.86    34.22   13.71   17.21   11.32   0.10  25.76
sdj              15.99    45.28  820.15 1586.59 15130.13 21609.18    30.53    35.36   14.69   21.33   11.25   0.11  25.91
sdk              12.77    38.13  617.10 1327.54 13464.36 15441.98    29.73    35.59   18.30   28.45   13.58   0.13  25.86
sdl              16.98    35.28  994.31 1382.35 14676.67 14128.10    24.24    34.61   14.56   17.64   12.34   0.11  25.88
sdm              16.93    37.87  992.60 1409.81 14664.34 14316.15    24.13    35.34   14.71   17.59   12.68   0.11  25.92
sdn              16.22    44.83  950.00 1469.60 15637.03 21104.27    30.37    34.70   14.34   18.40   11.71   0.11  26.12
sdo              16.60    29.98  918.05 1082.98 15201.60 12967.16    28.15    32.86   16.42   19.05   14.19   0.13  25.77
sdp              13.78    34.71  785.71 1350.15 14403.37 13257.84    25.90    35.40   16.57   22.29   13.24   0.12  25.91
sdq              16.52    26.08  952.21 1009.73 14986.39 11596.39    27.10    32.83   16.73   18.37   15.18   0.13  25.74
sdr              16.28    33.56  877.46 1106.70 14592.20 12067.84    26.87    35.45   17.86   19.93   16.23   0.13  25.99
sds              15.93    26.91  857.71 1014.26 13909.74 11853.66    27.53    32.29   17.25   20.42   14.56   0.14  26.20
sdt              16.93    36.99 1000.34 1314.64 14834.70 13738.82    24.69    35.00   15.12   17.49   13.31   0.11  25.84
sdu              17.01    36.14 1004.93 1387.18 14813.91 13668.30    23.81    34.97   14.62   17.38   12.62   0.11  25.86
